FECHA/HORA;JCLARBX;MSCBXTA;JALCPH;JCLPHCL;MSCPHTA;JCLARPZ;MSCPZTA
01/03/sábado 06:30;;59;7,89;7,32;6,42;;
01/03/sábado 08:30;;59,16;7,58;;6,34;;84,843
01/03/sábado 10:30;;58,72;7,46;6,88;6,2;;
01/03/sábado 12:30;11,6;60,44;7,47;6,88;6,17;85,293;85,903
01/03/sábado 14:30;;60,2;7,43;6,8;6,15;;
01/03/sábado 16:30;;59,08;7,42;;6,1;;84,792
01/03/sábado 18:30;;54,72;7,27;6,73;6,03;;
01/03/sábado 20:30;11,14;52,76;7,82;;6,12;85,296;84,158
01/03/sábado 22:30;11,38;58,4;7,25;6,98;6,25;0;
01/03/sábado 00:30;11,39;59,4;7,79;;6,08;0;84,865
01/03/sábado 02:30;11,43;62,32;8,13;7,8;6,31;0;
01/03/sábado 04:30;11,49;62,36;8,09;;6,34;84,543;84,064
02/03/domingo 06:30;;54,6;8,19;7,45;6,38;;
02/03/domingo 08:30;;55,68;7,94;;6,29;;84,235
02/03/domingo 10:30;;;;7,2;6,22;;
02/03/domingo 12:30;11,28;60,28;;;;84,92;83,769
02/03/domingo 22:30;11,6;;7,73;6,56;;0;
02/03/domingo 00:30;13,08;;7,83;;;0;
02/03/domingo 02:30;13,9;64,12;8,06;7,07;6,25;0;
02/03/domingo 04:30;12,94;63,88;7,84;;6,43;84,93;83,665
03/03/lunes 06:30;;56,56;7,95;7,38;6,47;;
03/03/lunes 08:30;;58,04;6,88;;6,22;;85,11
03/03/lunes 10:30;;61,68;7,47;7,04;6,07;;
03/03/lunes 12:30;11,36;61,92;8,09;;6,11;84,754;84,046
03/03/lunes 14:30;;68,08;7,66;7,39;6,23;;
03/03/lunes 16:30;;64,84;7,14;;6,24;;84,783
03/03/lunes 18:30;;64,6;6,95;6,75;5,96;;
03/03/lunes 20:30;12,22;67,8;7,63;;5,98;85,835;84,963
03/03/lunes 22:30;12,22;64,72;7,32;6,83;6,06;0;
03/03/lunes 00:30;12,47;65,12;7,85;;6,14;0;86,041
03/03/lunes 02:30;12,33;62,24;8,52;7,97;6,54;0;
03/03/lunes 04:30;12,44;65,44;7,96;;6,51;84,887;86,287
04/03/martes 06:30;;64,72;7,76;7,32;6,17;;
04/03/martes 08:30;;65,72;7,87;;6,44;;86,598
04/03/martes 10:30;;68;7,53;7,34;6,53;;
04/03/martes 12:30;12,44;66,48;7,53;;6,34;81,399;84,143
04/03/martes 14:30;;68,84;8,11;7,7;6,17;;
04/03/martes 16:30;;64,88;7,5;;6,31;;86,449
04/03/martes 18:30;;61,52;8,12;7,79;6,46;;
04/03/martes 20:30;12,51;64,24;7,26;;6,38;86,027;85,676
04/03/martes 22:30;11,75;67,68;7,5;6,93;6,16;0;
04/03/martes 00:30;11,95;64,88;8,01;;6,16;0;86,571
04/03/martes 02:30;12;65,08;7,79;7,21;6,36;0;
04/03/martes 04:30;12,1;58,76;7,32;;6,4;85,777;86,443
05/03/miércoles 06:30;;68,48;7,19;7,67;6,5;;
05/03/miércoles 08:30;;66,32;7,04;;6,16;;85,514
05/03/miércoles 10:30;;69,32;7,64;7,23;6,08;;
05/03/miércoles 12:30;11,01;65,84;7,54;;6,2;85,777;86,113
05/03/miércoles 14:30;;62;7,82;7,24;6,27;;
05/03/miércoles 16:30;;61,68;7,75;;6,36;;86,268
05/03/miércoles 18:30;;65,56;7,5;6,78;6,37;;
05/03/miércoles 20:30;11,18;62,76;7,41;;6,12;85,877;86,554
05/03/miércoles 22:30;11,45;63,4;7,46;7,05;6,23;0;
05/03/miércoles 00:30;11,88;64,32;7,49;;6,22;0;86,618
05/03/miércoles 02:30;11,61;64,56;7,85;7,39;6,27;0;
05/03/miércoles 04:30;11,75;64,84;7,87;;6,31;84,749;86,006
06/03/jueves 06:30;;61,8;7,82;7,54;6,4;;
06/03/jueves 08:30;;61,84;6,91;;6,53;;85,443
06/03/jueves 10:30;;69,32;7,89;7,05;6,13;;
06/03/jueves 12:30;10,13;62,44;7,19;;6,12;83,939;85,038
06/03/jueves 14:30;;48,12;7,63;7,06;6,21;;
06/03/jueves 16:30;;50,08;;;6,33;;84,808
06/03/jueves 20:30;9,66;;;;;84,679;
06/03/jueves 00:30;;;7,38;;;;
06/03/jueves 02:30;;66,28;8,19;7,49;5,89;;
06/03/jueves 04:30;12,69;66,6;7,51;;6,22;84,641;85,398
07/03/viernes 06:30;;72,84;7,07;6,67;5,94;;
07/03/viernes 08:30;;70,24;7,32;;5,83;;87,059
07/03/viernes 10:30;;74,76;7,59;6,94;6,1;;
07/03/viernes 12:30;12,13;71,52;7,61;;6,07;86,142;86,957
07/03/viernes 14:30;;71,44;7,32;7,05;6,01;;
07/03/viernes 16:30;;67,24;7,23;;6,16;;87,098
07/03/viernes 18:30;;69,84;7,74;6,91;6,06;;
07/03/viernes 20:30;11,69;68,2;7,72;;6,26;86,347;87,147
07/03/viernes 22:30;;65,2;8,02;7,71;6,41;;
07/03/viernes 00:30;;65,04;8,26;;6,71;;86,312
07/03/viernes 02:30;;60,92;7,93;7,72;6,71;;
07/03/viernes 04:30;11,37;62,08;8,31;;6,78;86,456;86,704
08/03/sábado 06:30;;65,6;8,19;7,72;6,22;;
